Height,Shag,Little_Gull,Atlantic_Puffin,Black_Throated_Diver,Common_Tern,Northern_Fulmar,Lesser_Black_Backed_Gull,Herring_Gull,Arctic_Tern,Little_Auk,Black_Headed_Gull,Great_Black_backed_Gull,Sandwich_Tern,Arctic_Skua,Great_Skua,Common_Gull,Manx_Shearwater,Northern_Gannet,Black_legged_Kittiwake,Common_Guillemot,Razorbill
34,0.000500641,0.001547471,1.94E-05,1.04E-08,0.000280615,6.52E-05,0.005431185,0.006279906,0.001002042,7.20E-29,0.000678993,0.008315894,0.001249051,0.000698353,0.000788788,0.004696676,4.89E-15,4.92E-05,0.00382238,2.29E-09,1.03E-05
35,0.000332776,0.001419592,1.96E-05,1.55E-08,0.000245375,6.23E-05,0.004967028,0.005813579,0.000994447,1.04E-28,0.000589202,0.007833469,0.001294471,0.000561341,0.000717693,0.004252702,5.10E-16,2.36E-05,0.003399657,2.33E-09,8.75E-06
36,0.000244085,0.001313662,2.03E-05,2.36E-08,0.000221733,6.04E-05,0.004533858,0.005378399,0.00098715,6.75E-29,0.000516567,0.007379217,0.001249373,0.000456661,0.000666544,0.003837949,5.05E-17,1.10E-05,0.003020308,2.46E-09,7.39E-06
37,0.000171362,0.001199874,2.12E-05,3.56E-08,0.000201036,5.68E-05,0.004214412,0.004993926,0.000980129,1.81E-28,0.000455767,0.006911267,0.00107538,0.000365823,0.0006224,0.003448598,4.79E-18,5.00E-06,0.002604091,2.69E-09,6.68E-06
38,0.000127429,0.001086644,2.26E-05,5.46E-08,0.000181213,5.20E-05,0.003890469,0.004658597,0.000973367,6.74E-28,0.000411187,0.006484557,0.000910695,0.000293203,0.000573855,0.003108604,4.38E-19,2.22E-06,0.002146094,3.05E-09,6.08E-06
39,0.00010892,0.001063049,2.41E-05,8.54E-08,0.000163484,4.85E-05,0.003596827,0.004324689,0.000966843,1.59E-27,0.000378905,0.006129967,0.000841613,0.000237922,0.000533242,0.00279792,3.89E-20,9.67E-07,0.001759912,9.69E-10,6.16E-06
40,9.36E-05,0.001012436,2.55E-05,1.36E-07,0.000149534,4.51E-05,0.003299468,0.004039896,0.00096054,4.14E-27,0.000350819,0.005816007,0.000840139,0.00018879,0.00050567,0.00250481,3.38E-21,4.15E-07,0.001436678,2.42E-10,5.96E-06
41,8.09E-05,0.000971774,2.63E-05,2.17E-07,0.000136442,4.12E-05,0.003037232,0.003750353,0.000954451,1.20E-26,0.000325369,0.005500108,0.000838746,0.000149677,0.000480421,0.002255009,2.90E-22,1.76E-07,0.001167968,5.87E-11,4.86E-06
42,7.02E-05,0.000917326,2.75E-05,3.49E-07,0.00012501,3.98E-05,0.002803004,0.003501321,0.000741287,3.79E-26,0.000304615,0.00517828,0.000837429,0.000118848,0.000468277,0.002022611,2.49E-23,7.36E-08,0.00094598,1.39E-11,4.40E-06
43,6.13E-05,0.000855928,2.95E-05,5.67E-07,0.000115847,3.65E-05,0.002602663,0.003276959,0.000567589,1.31E-25,0.000287186,0.00488168,0.000836184,9.27E-05,0.000453776,0.001807005,2.11E-24,3.06E-08,0.000763642,3.24E-12,4.60E-06
